study_id,year,author,condition,population_type,population_age,study_design,application,wavelength_nm,session_duration_min,session_count,blinding,control_type,outcome_cat,outcome_direction,sample,source,publisher
S094,2023,Truong et al.,Healthy,healthy,adult,Controlled Trial,transcranial,1064,8,1,single-blind,sham-controlled,Brain Hemodynamics,positive,24,Enhancement of Frequency-Specific Hemodynamic Power and Functional Connectivity by Transcranial Photobiomodulation in Healthy Humans,Frontiers
S094,2023,Truong et al.,Healthy,healthy,adult,Controlled Trial,transcranial,1064,8,1,single-blind,sham-controlled,Cognitive Function,positive,24,Enhancement of Frequency-Specific Hemodynamic Power and Functional Connectivity by Transcranial Photobiomodulation in Healthy Humans,Frontiers
S008,2023,Wang et al.,Anxiety Disorder,clinical,adult,Rct,transcranial,820,16,56,double-blind,sham-controlled,Anxiety,positive,40,"820-nm Transcranial near-infrared stimulation on the left DLPFC relieved anxiety: A randomized, double-blind, sham-controlled study",PubMed
S087,2024,Colzato et al.,Bipolar Disorder,clinical,adult,Crossover,transcranial,808,NA,1,not reported,NA,Cognitive Function,inconclusive,20,Transcranial Photobiomodulation for Executive Function in Bipolar Disorder (TPEB): Study Protocol,MDPI
S032,2024,Dmochowski et al.,Healthy,healthy,adult,Randomized Spectroscopy Study,transcranial,NA,10,1,single-blind,sham-controlled,Brain Stimulation,positive,14,ID: 331690 Effects of Transcranial Photobiomodulation on Cerebral Bioenergetics: a Magnetic Resonance Spectroscopy Study,ScienceDirect
S033,2024,Gaggi et al.,Alzheimer's,clinical,geriatric,Open-Label Pilot,transcranial,808,NA,1,not reported,no control group,Brain Stimulation,positive,19,Transcranial photobiomodulation increases intrinsic brain activity within irradiated areas in early Alzheimer's disease: Potential link with cerebral metabolism,ScienceDirect
S038,2024,Hao et al.,Major Depressive Disorder,clinical,adult,Open-Label Pilot,transcranial,820,16,14,double-blind,placebo-controlled,Depression,positive,11,Efficacy of transcranial photobiomodulation in the treatment for major depressive disorder: A TMS-EEG and pilot study,PubMed
S012,2024,Karr et al.,Brain Injury,clinical,adult,Rct,transcranial,NA,40,18,not reported,sham-controlled,Cognitive Function,mixed,15,Treatment of chronic symptoms following mild traumatic brain injury with transcranial LED: a sham run-in pilot study of photobiomodulation therapy,PubMed
S012,2024,Karr et al.,Brain Injury,clinical,adult,Rct,transcranial,NA,40,18,not reported,sham-controlled,Mood,mixed,15,Treatment of chronic symptoms following mild traumatic brain injury with transcranial LED: a sham run-in pilot study of photobiomodulation therapy,PubMed
S071,2024,Liu et al.,Post-Stroke Depression,clinical,adult,Rct,peripheral,630,40,56,double-blind,sham-controlled,Depression,positive,100,"Effects of phototherapy on biopterin, neopterin, tryptophan, and behavioral neuroinflammatory reaction in patients with post-stroke depression",PubMed
S071,2024,Liu et al.,Post-Stroke Depression,clinical,adult,Rct,peripheral,630,40,56,double-blind,sham-controlled,Mood,positive,100,"Effects of phototherapy on biopterin, neopterin, tryptophan, and behavioral neuroinflammatory reaction in patients with post-stroke depression",PubMed
S060,2024,Navarro-Ledesma et al.,Fibromyalgia,clinical,adult,Rct,peripheral,850,20,12,double-blind,sham-controlled,Anxiety,positive,42,"Outcomes of whole-body photobiomodulation on pain, quality of life, leisure physical activity, pain catastrophizing, kinesiophobia, and self-efficacy: a prospective randomized triple-blinded clinical trial with 6 months of follow-up",Frontiers
S060,2024,Navarro-Ledesma et al.,Fibromyalgia,clinical,adult,Rct,peripheral,850,20,12,double-blind,sham-controlled,Mood,positive,42,"Outcomes of whole-body photobiomodulation on pain, quality of life, leisure physical activity, pain catastrophizing, kinesiophobia, and self-efficacy: a prospective randomized triple-blinded clinical trial with 6 months of follow-up",Frontiers
